Site Name,Latitude,Longitude,Site Enabled,Device Name,Device Type,Max Power (dBm),Misc Loss (dB),Antenna Type,Mechanical Azimuth (deg),Mechanical Downtilt (deg),Electrical Downtilt (deg),Antenna Height AGL (m),Beamforming Gain (dB),LTE PDSCH Offset (dB),Cell Load (%)
S1105,32.8645512,-96.4084508,true,LTE-ENodeB-1997,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1106,31.8801545,-99.9285370,true,LTE-ENodeB-1998,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1107,31.9002797,-99.9958092,true,LTE-ENodeB-1999,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1108,31.6749065,-100.0544707,true,LTE-ENodeB-2000,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1109,31.6749065,-100.1639432,true,LTE-ENodeB-2001,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S111,29.8429352,-96.2172608,true,LTE-ENodeB-1101,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1110,31.8249291,-99.9826300,true,LTE-ENodeB-4,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1111,32.3484763,-94.8985706,true,LTE-ENodeB-22,Outdoor,45,2,AW3161,120,0,0,40,0,0,50
S1112,32.3432465,-94.7893327,true,LTE-ENodeB-202,Outdoor,45,2,AW3161,120,0,0,40,0,0,50
S1113,32.2301510,-94.8953155,true,LTE-ENodeB-2002,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1114,32.2706385,-94.9180940,true,LTE-ENodeB-2003,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1115,32.2939839,-94.9797700,true,LTE-ENodeB-2004,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1116,32.3469388,-94.6077536,true,LTE-ENodeB-2005,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1117,32.6915806,-100.8946199,true,LTE-ENodeB-2006,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1118,32.7404070,-99.2733024,true,LTE-ENodeB-2007,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1119,32.7393607,-99.3035382,true,LTE-ENodeB-2008,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S112,29.7911893,-96.3010740,true,LTE-ENodeB-13,Outdoor,45,2,AW3161,120,0,0,40,0,0,50
S1120,32.3027821,-94.8056549,true,LTE-ENodeB-2009,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1121,32.3017946,-94.8375353,true,LTE-ENodeB-2010,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1122,32.3459736,-94.9595562,true,LTE-ENodeB-2011,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1123,32.3699290,-94.8579479,true,LTE-ENodeB-203,Outdoor,45,2,AW3161,0,0,0,40,0,0,50
S1124,32.7236461,-99.3189408,true,LTE-ENodeB-2012,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1125,32.7360926,-99.1699612,true,LTE-ENodeB-2013,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1126,31.9736149,-94.0377355,true,LTE-ENodeB-2014,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1127,31.8840442,-94.0824223,true,LTE-ENodeB-2015,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1128,32.1371701,-94.8403881,true,LTE-ENodeB-2016,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1129,32.1482885,-94.7122741,true,LTE-ENodeB-2017,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S113,29.9547360,-96.3482328,true,LTE-ENodeB-112,Outdoor,45,2,AW3161,120,0,0,40,0,0,50
S1130,31.8809388,-94.9019183,true,LTE-ENodeB-2018,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1131,31.8579120,-94.8801287,true,LTE-ENodeB-2019,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1132,31.9458245,-94.5255034,true,LTE-ENodeB-2020,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1133,31.9195809,-94.1333506,true,LTE-ENodeB-2021,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1134,32.1646831,-94.9033085,true,LTE-ENodeB-204,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
